Keyword Found,Address,Price,Area IN Sqft,LotSize in Sqft,Bedroom,Bathroom
,"518 Martha St, San Jose, CA 95112",749000,1722,1197,3,3
,"5869 Dry Oak Dr, San Jose, CA 95120",1225000,2334,5083,3,3
,"892 Roberts Pl, San Jose, CA 95122",898000,2015,2752,3,3
,"1147 Longshore Dr, San Jose, CA 95128",998000,1758,3911,3,3
,"456 Golfview Dr, San Jose, CA 95127",930000,1953,3632,3,2
,"1385 Auzerais Ave, San Jose, CA 95126",799888,1512,631,3,3
,"1323 Chandon Ct, San Jose, CA 95125",1001950,1224,1040,2,3
,"378 Englert Ct, San Jose, CA 95133",799950,1404,1528,3,3
,"2315 Lava Dr, San Jose, CA 95133",675000,1342,1494,3,2
,"2018 Quadros Ln, San Jose, CA 95131",650000,994,1663,3,1
,"130 Baroni Ave APT 1, San Jose, CA 95136",689000,1482,2069,3,3
,"4720 Cielo Vista Way, San Jose, CA 95129",1598000,1496,3301,3,3
,"3322 Methilhaven Ln, San Jose, CA 95121",649888,991,2147,3,1
,"2845 Buena Crest Ct, San Jose, CA 95121",755000,1050,1197,3,2
,"4201 Sophia Way, San Jose, CA 95134",1100000,1139,675,3,3
,"3121 Loma Verde Dr APT 27, San Jose, CA 95117",799500,1306,1520,2,3
,"524 Mill River Ln, San Jose, CA 95134",1288800,1887,1250,3,3
,"7150 Golf Course Ln, San Jose, CA 95139",570000,864,1790,2,1
,"589 Crystalberry Ter, San Jose, CA 95129",1149000,1306,1359,3,2
,"1060 Queensbrook Dr, San Jose, CA 95129",1199800,1149,1672,2,2
,"1744 Deer Creek Ct, San Jose, CA 95148",779000,1780,1973,4,3
,"6067 Calle De Prospero, San Jose, CA 95124",1098000,2235,2300,3,4
,"611 La Maison Dr, San Jose, CA 95128",838000,1104,4181,2,2
,"4582 Powderborn Ct, San Jose, CA 95136",699000,1104,2199,3,2
,"979 Branham Ln, San Jose, CA 95136",755000,1460,2178,3,3
